closure_id,date_key,date,start_date,end_date,entity_type,entity_name,closure_type,road_name
102,20210825,25-08-2021,25-08-2021,29-08-2021,road,S Dickinson St,Full,S Dickinson St
103,20210828,28-08-2021,28-08-2021,28-08-2021,road,Farmers' Market,Special Event,Farmers' Market
104,20210901,01-09-2021,01-09-2021,01-09-2021,road,Farmers' Market,Special Event,Farmers' Market
105,20210904,04-09-2021,04-09-2021,04-09-2021,road,Farmers' Market,Special Event,Farmers' Market
106,20210908,08-09-2021,08-09-2021,08-09-2021,road,Farmers' Market,Special Event,Farmers' Market
107,20210911,11-09-2021,11-09-2021,11-09-2021,road,Farmers' Market,Special Event,Farmers' Market
108,20210912,12-09-2021,12-09-2021,12-09-2021,road,Ironman Wisconsin,Special Event,Ironman Wisconsin
109,20210915,15-09-2021,15-09-2021,15-09-2021,road,Farmers' Market,Special Event,Farmers' Market
110,20210916,16-09-2021,16-09-2021,16-09-2021,road,Madison Night Market,Special Event,Madison Night Market
111,20210918,18-09-2021,18-09-2021,18-09-2021,road,Farmers' Market,Special Event,Farmers' Market
112,20210920,20-09-2021,20-09-2021,31-10-2021,road,E Johnson St,Full,E Johnson St
113,20210922,22-09-2021,22-09-2021,22-09-2021,road,Farmers' Market,Special Event,Farmers' Market
114,20210925,25-09-2021,25-09-2021,26-09-2021,road,Art Fair on the Square,Special Event,Art Fair on the Square
115,20210927,27-09-2021,27-09-2021,01-10-2021,road,Southwest Path,Full,Southwest Path
116,20210929,29-09-2021,29-09-2021,29-09-2021,road,Farmers' Market,Special Event,Farmers' Market
117,20211002,02-10-2021,02-10-2021,02-10-2021,road,Farmers' Market,Special Event,Farmers' Market
118,20211004,04-10-2021,04-10-2021,08-10-2021,road,Southwest Path,Full,Southwest Path
119,20211006,06-10-2021,06-10-2021,06-10-2021,road,Farmers' Market,Special Event,Farmers' Market
120,20211009,09-10-2021,09-10-2021,09-10-2021,road,Farmers' Market,Special Event,Farmers' Market
121,20211011,11-10-2021,11-10-2021,15-10-2021,road,Walter Rd,Full,Walter Rd
122,20211013,13-10-2021,13-10-2021,13-10-2021,road,Farmers' Market,Special Event,Farmers' Market
123,20211015,15-10-2021,15-10-2021,20-10-2021,road,Commercial Ave,Full,Commercial Ave
124,20211016,16-10-2021,16-10-2021,16-10-2021,road,Farmers' Market,Special Event,Farmers' Market
125,20211018,18-10-2021,18-10-2021,22-10-2021,road,Commercial Ave,Full,Commercial Ave
126,20211018,18-10-2021,18-10-2021,12-11-2021,road,Felland Rd,Full,Felland Rd
127,20211020,20-10-2021,20-10-2021,20-10-2021,road,Farmers' Market,Special Event,Farmers' Market
128,20211022,22-10-2021,22-10-2021,22-10-2021,road,Madison Night Market,Special Event,Madison Night Market
129,20211023,23-10-2021,23-10-2021,23-10-2021,road,Farmers' Market,Special Event,Farmers' Market
130,20211027,27-10-2021,27-10-2021,27-10-2021,road,Farmers' Market,Special Event,Farmers' Market
131,20211030,30-10-2021,30-10-2021,30-10-2021,road,Farmers' Market,Special Event,Farmers' Market
132,20211103,03-11-2021,03-11-2021,03-11-2021,road,Farmers' Market,Special Event,Farmers' Market
133,20211106,06-11-2021,06-11-2021,06-11-2021,road,Farmers' Market,Special Event,Farmers' Market
134,20211118,18-11-2021,18-11-2021,18-11-2021,road,Madison Night Market,Special Event,Madison Night Market
135,20211216,16-12-2021,16-12-2021,16-12-2021,road,Madison Night Market,Special Event,Madison Night Market
