date_key,date,tmin,tmax,tavg,prcp,snow
20210810,10-08-2021,17.8,32.8,25.3,8.9,0
20210811,11-08-2021,20.6,30.6,25.6,0,0
20210812,12-08-2021,17.8,30,23.9,0,0
20210813,13-08-2021,12.8,27.2,20,0,0
20210814,14-08-2021,10.6,26.7,18.65,0,0
20210815,15-08-2021,11.7,26.7,19.2,0,0
20210816,16-08-2021,11.7,26.1,18.9,0,0
20210817,17-08-2021,13.3,27.8,20.55,0,0
20210818,18-08-2021,16.1,31.1,23.6,0,0
20210819,19-08-2021,17.8,32.2,25,0,0
20210820,20-08-2021,17.8,31.1,24.45,0,0
20210821,21-08-2021,17.2,28.3,22.75,6.9,0
20210822,22-08-2021,13.3,26.1,19.7,0,0
20210823,23-08-2021,15.6,30.6,23.1,4.6,0
20210824,24-08-2021,19.4,31.1,25.25,8.1,0
20210825,25-08-2021,20,30,25,0,0
20210826,26-08-2021,20,30,25,0,0
20210827,27-08-2021,20,30.6,25.3,4.1,0
20210828,28-08-2021,20,32.8,26.4,3.8,0
20210829,29-08-2021,18.3,28.9,23.6,0,0
20210830,30-08-2021,15,28.9,21.95,0,0
20210831,31-08-2021,13.9,25.6,19.75,0,0
20210901,01-09-2021,12.2,25,18.6,0,0
20210902,02-09-2021,8.9,25.6,17.25,0,0
20210903,03-09-2021,15,21.1,18.05,2.5,0
20210904,04-09-2021,15,21.1,18.05,0,0
20210905,05-09-2021,12.8,26.7,19.75,0,0
20210906,06-09-2021,10,26.1,18.05,0,0
20210907,07-09-2021,15,26.1,20.55,3.8,0
20210908,08-09-2021,11.1,22.8,16.95,0,0
20210909,09-09-2021,9.4,23.9,16.65,0,0
20210910,10-09-2021,10,26.1,18.05,0,0
20210911,11-09-2021,13.3,29.4,21.35,0,0
20210912,12-09-2021,17.2,23.9,20.55,0.5,0
20210913,13-09-2021,15.6,20.6,18.1,29.2,0
20210914,14-09-2021,12.2,23.3,17.75,0,0
20210915,15-09-2021,10,24.4,17.2,0,0
20210916,16-09-2021,10,27.2,18.6,0,0
20210917,17-09-2021,11.1,27.8,19.45,0,0
20210918,18-09-2021,8.9,25.6,17.25,0,0
20210919,19-09-2021,11.1,31.1,21.1,0,0
20210920,20-09-2021,18.3,28.3,23.3,22.4,0
20210921,21-09-2021,11.1,20.6,15.85,0.3,0
20210922,22-09-2021,8.9,18.3,13.6,0,0
20210923,23-09-2021,6.7,20.6,13.65,0,0
20210924,24-09-2021,7.2,26.1,16.65,0.8,0
20210925,25-09-2021,8.9,18.9,13.9,0,0
20210926,26-09-2021,11.1,27.2,19.15,0,0
20210927,27-09-2021,10.6,28.3,19.45,0,0
20210928,28-09-2021,8.3,24.4,16.35,0,0
20210929,29-09-2021,7.2,27.2,17.2,0,0
20210930,30-09-2021,10.6,28.9,19.75,0,0
20211001,01-10-2021,11.1,28.9,20,0,0
20211002,02-10-2021,18.9,26.1,22.5,1,0
20211003,03-10-2021,17.2,23.3,20.25,1,0
20211004,04-10-2021,16.1,21.7,18.9,0,0
20211005,05-10-2021,15.6,20.6,18.1,0,0
20211006,06-10-2021,15,25,20,0,0
20211007,07-10-2021,14.4,20,17.2,12.7,0
20211008,08-10-2021,15.6,22.2,18.9,0,0
20211009,09-10-2021,13.9,26.1,20,0,0
20211010,10-10-2021,17.2,22.8,20,0.3,0
20211011,11-10-2021,15.6,19.4,17.5,11.4,0
20211012,12-10-2021,14.4,17.8,16.1,1.3,0
20211013,13-10-2021,13.3,19.4,16.35,4.6,0
20211014,14-10-2021,7.2,19.4,13.3,0,0
20211015,15-10-2021,6.1,15,10.55,0,0
20211016,16-10-2021,4.4,15,9.7,0,0
20211017,17-10-2021,2.2,18.3,10.25,0,0
20211018,18-10-2021,2.8,22.2,12.5,0,0
20211019,19-10-2021,5.6,22.2,13.9,0,0
20211020,20-10-2021,8.9,22.2,15.55,0.5,0
20211021,21-10-2021,0.6,16.1,8.35,1,0
20211022,22-10-2021,-0.5,9.4,4.45,0,0
20211023,23-10-2021,-0.5,11.7,5.6,0,0
20211024,24-10-2021,-1,10,4.5,5.6,0
20211025,25-10-2021,0.6,11.7,6.15,1.5,0
20211026,26-10-2021,-1,12.8,5.9,0,0
20211027,27-10-2021,-1,14.4,6.7,0,0
20211028,28-10-2021,6.1,11.1,8.6,5.8,0
20211029,29-10-2021,8.9,11.7,10.3,0,0
20211030,30-10-2021,2.8,13.3,8.05,0,0
20211031,31-10-2021,2.2,10.6,6.4,0,0
20211101,01-11-2021,0.6,8.3,4.45,0,0
20211102,02-11-2021,-3.8,7.2,1.7,0,0
20211103,03-11-2021,-6,6.1,0.05,0,0
20211104,04-11-2021,-3.2,9.4,3.1,0,0
20211105,05-11-2021,0,11.1,5.55,0,0
20211106,06-11-2021,3.9,15.6,9.75,0,0
20211107,07-11-2021,3.3,17.8,10.55,0,0
20211108,08-11-2021,4.4,19.4,11.9,0,0
20211109,09-11-2021,-1.6,15,6.7,0,0
20211110,10-11-2021,-3.8,12.8,4.5,0.3,0
20211111,11-11-2021,3.9,12.2,8.05,6.6,0
20211112,12-11-2021,1.1,3.9,2.5,1,0
20211113,13-11-2021,0,3.3,1.65,1,0
20211114,14-11-2021,-1,2.2,0.6,0,0
20211115,15-11-2021,-5.5,0.6,-2.45,0,0
20211116,16-11-2021,-6,9.4,1.7,0,0
20211117,17-11-2021,0.6,11.1,5.85,0,0
20211118,18-11-2021,-3.2,0.6,-1.3,0,0
20211119,19-11-2021,-7.7,2.8,-2.45,0,0
20211120,20-11-2021,-1.6,8.9,3.65,0,0
20211121,21-11-2021,-3.8,11.1,3.65,0,0
20211122,22-11-2021,-7.7,0,-3.85,0,0
20211123,23-11-2021,-7.7,6.1,-0.8,0,0
20211124,24-11-2021,1.7,11.1,6.4,0,0
20211125,25-11-2021,-8.8,7.2,-0.8,0.3,0
20211126,26-11-2021,-10.5,-1.6,-6.05,0,0
20211127,27-11-2021,-2.7,3.9,0.6,0,0
20211128,28-11-2021,-7.7,3.9,-1.9,0,0
20211129,29-11-2021,-6.6,5.6,-0.5,0,0
20211130,30-11-2021,-3.2,8.9,2.85,0,0
20211201,01-12-2021,-1.6,10,4.2,0,0
20211202,02-12-2021,2.2,10.6,6.4,0,0
20211203,03-12-2021,-1.6,6.1,2.25,3,0
20211204,04-12-2021,-2.7,1.7,-0.5,0,0
20211205,05-12-2021,-0.5,2.2,0.85,1,0
20211206,06-12-2021,-14.3,1.1,-6.6,0,0
20211207,07-12-2021,-14.3,-5.5,-9.9,0,0
20211208,08-12-2021,-8.8,-2.7,-5.75,0,0
20211209,09-12-2021,-6,3.9,-1.05,0,0
20211210,10-12-2021,-1.6,2.8,0.6,18.8,0
20211211,11-12-2021,-1.6,2.8,0.6,3,0
20211212,12-12-2021,-1,8.3,3.65,0,0
20211213,13-12-2021,-3.2,10,3.4,0,0
20211214,14-12-2021,-3.8,8.9,2.55,0,0
20211215,15-12-2021,8.3,20,14.15,0.3,0
20211216,16-12-2021,-3.8,17.2,6.7,0,0
20211217,17-12-2021,-7.7,-1,-4.35,0,0
20211218,18-12-2021,-5.5,0,-2.75,0,0
20211219,19-12-2021,-5.5,-0.5,-3,0,0
20211220,20-12-2021,-7.1,3.9,-1.6,0,0
20211221,21-12-2021,-9.9,1.7,-4.1,0,0
20211222,22-12-2021,-11,-3.8,-7.4,0,0
20211223,23-12-2021,-6.6,3.9,-1.35,0,0
20211224,24-12-2021,-6,8.3,1.15,0.8,0
20211225,25-12-2021,-5.5,6.1,0.3,0,0
20211226,26-12-2021,-8.2,3.9,-2.15,7.1,0
20211227,27-12-2021,-4.9,3.3,-0.8,1,5
20211228,28-12-2021,-6,1.1,-2.45,7.4,3
20211229,29-12-2021,-11.6,1.1,-5.25,0,8
20211230,30-12-2021,-12.1,-1,-6.55,0.3,8
20211231,31-12-2021,-3.2,-1,-2.1,0.3,8
20220101,01-01-2022,-9.9,-3.2,-6.55,1,8
20220102,02-01-2022,-16.6,-8.2,-12.4,0,10
